InterventionType,InterventionName_lower,Freq
Other,questionnaire filling,1
Other,questionnaire collection,1
Other,physical exercise and computerized cognitive training,1
Other,placebo (1 tablet daily during 60 days) + personal protective equipment (ppe),1
Radiation,low dose radiation therapy (ld-rt),1
Other,pilates exercises,1
Other,physiology,1
Other,physiological serum,1
Other,physiological effects of awake prone position in covid 19 patients,1
Other,physical therapy exercise,1
Other,physical exercises,1
Other,physical activity program,1
Other,questionnaire by phone call,1
Other,physical activity level,1
Other,phsyiotherapy,1
Other,phq-9 depression scale,1
Other,phq-9 (patient health questionnaire) depression scale,1
Other,phq-9 (9-item patient health questionnaire),1
Other,phone-based monitoring,1
Other,phone interviews,1
Other,phone interview,1
Other,placebo (carrier control),1
Other,placebo (crossover vaccination period),1
Other,placebo (hartmann plus albumine),1
Other,placebo (human albumin 1%),1
Other,placebo rinse,1
Other,placebo plain water mouth rinse arm,1
Other,placebo oral tablet,1
Other,placebo oral solution,1
Other,placebo nebuliser solution,1
Other,placebo injection and placebo pill,1
Other,placebo group,1
Other,placebo granules,1
Other,placebo control + best supportive care,1
Other,placebo comparator: dw-ns,1
Other,placebo comparator: dw-ni,1
Other,placebo - starch powder soft gels,1
Other,"placebo (sodium chloride, a 0.9% solution for the preparation of dosage forms for injections)",1
Other,"placebo (sodium chloride bufus, solvent for the preparation of dosage forms for injection 0.9%)",1
Other,placebo (saline),1
Other,placebo (methylcellulose) capsule,1
Other,placebo (initial vaccination period),1
Other,phage therapy,1
Other,personal protective testing booth,1
Other,personal protective equipment from biological hazard,1
Other,pandemic control measures,1
Other,"oxygen-ozone therapy, probiotic supplementation and standard of care",1
Other,oxygen treatment,1
Other,oxygen saturation monitoring,1
Other,oxygen mask,1
Other,overnight intensive recovery / extended post anaesthetic care in pacu,1
Other,others(no intervention),1
Other,osteopathic manipulative treatment (omt),1
Other,oropharyngeal and intestinal microbiota,1
Other,oral-b® gum & enamel care -cetylpyridinium chloride,1
Other,oral intervention with cetylpyridinium chloride,1
Other,oral and nasal spray by distilled water to control group,1
Other,optional questionnaire completion,1
Other,optional blood completion,1
Other,optimized management of covid-19 positive kidney transplant recipients: single center experience from the middle east,1
Other,online survey questionnaire,1
Other,online survey about dietary and lifestyle habits,1
Other,online questionnaire and interviews,1
Other,pacebo: calcium citrate,1
Other,pandemic period,1
Other,personal freedom message,1
Other,paraclinical examination,1
Other,peroxyl,1
Other,peripheral blood,1
Other,perceived stress scale,1
Other,peep trial,1
Other,patients with hemopathy,1
Other,patients recovering from covid19 receive usual care by allied health professionals,1
Other,patients received standard of care treatment during hospitalization,1
Other,patients covid 19,1
Other,patients admitted to intensive care unit with sars-cov2,1
Other,patients admitted in intensive care units,1
Other,patient with sar-cov-2 infection,1
Other,patient sampling,1
Other,patient quality of life assessment,1
Other,patient management suffering of coronavirus infection,1
Other,patient characteristics,1
Other,passed infection of sars-cov-2,1
Other,particle measurement,1
Other,placebo saline,1
Other,placebo tablet,1
Other,placebo therapy,1
Other,public space exposure,1
Other,pt-x and imt,1
Other,pt pal,1
Other,psychometric scale administration,1
Other,psychological support,1
Other,psychological and sociological interviews,1
Other,psychoeducational intervention,1
Other,psychoeducation,1
Other,psycho-social questionnaire,1
Other,psycho-education video,1
Other,pss (perceived stress scale),1
Other,psqi,1
Other,psg,1
Other,protocolised mechanical ventilation strategy,1
Other,protective ventilation,1
Other,prospective study with two measurement points investigating the impact of viral mitigation protocols on parental burnout,1
Other,prospective study across two time-points examining the impact of viral mitigation protocols on mental health,1
Other,prospective observation,1
Other,ptsd check list (pcl) scale,1
Other,pulmonary and motor rehabilitation,1
Other,prospective cohort in high body mass index patient with covid 19,1
Other,pulmonary physiotherapy techniques,1
Other,questionnaire and optional interview,1
Other,questionnaire and interview,1
Other,"questionnaire administration,blood sampling and genetic analyses.",1
Other,questionnair about emerging legal and ehical disputes over patient confidentiality,1
Other,questionaire,1
Other,quesionnair,1
Other,querying the insee database,1
Other,quantitative analysis for professionals,1
Other,quantitative analysis for patients,1
Other,quality of live assessment,1
Other,quality of life questionnaires,1
Other,quality of life promotion,1
Other,quality of life assessment,1
Other,qualitative interviews (in 40 patients : 20 with covid-19 and 20 without covid-19),1
Other,qualitative analysis for professionals,1
Other,pulmonary telerehabilitation,1
Other,pulmonary tele-rehabilitation,1
Other,prospective oberservational registry,1
Other,prospective chart review,1
Other,placebo vaccine,1
Other,predictors of health care provide,1
Other,predictive factors for clinical response in patients with covid-19.,1
Other,prediction market,1
Other,"predict admission of covid-19 patients to icu and death with routine and quickly avalaible clinical, biological and radiological variables?",1
Other,pre-operative screening,1
Other,prayer,1
Other,postural positioning,1
Other,postpartum women under investigation for coronavirus or diagnosed with covid-19,1
Other,"post traumatic, anxiety and depression evaluation",1
Other,post covid-19 functional satus scale,1
Other,poct,1
Other,plethysmography & dlco,1
Other,plasma therapy using convalescent plasma with antibody against sars-cov-2,1
Other,plasma sampling,1
Other,plasma hyperimmune,1
Other,plasma expansion with ringer's acetate,1
Other,plasma donation,1
Other,plasebo acupressure,1
Other,predictors adverse evolution,1
Other,pregnant women under investigation for coronavirus or diagnosed with covid-19,1
Other,proprietary extract of nerium oleander,1
Other,prevalence of covid-19,1
Other,prophylaxis,1
Other,prone lying position,1
Other,prone decubitus,1
Other,prone,1
Other,prolonged proned positioning,1
Other,prolectin-m; a (1-6)-alpha-d-mannopyranose class,1
Other,project echo,1
Other,progressive muscle relaxation training,1
Other,progressive cycling exercise test to exhaustion,1
Other,produce prescription program,1
Other,probiotics,1
Other,probiorinse,1
Other,pro-sero-cov,1
Other,"pro bnp , vitamin d",1
Other,primary exposure is hypoxia (no intervention),1
Other,"primary care professionals reports of potential patient safety incidents, non-covid-19 related",1
Other,primary care,1
Other,stool analysis,1
Other,stp + covid-19 convalescent plasma (cp),1
Other,adipose tissue,1
Procedure,cuff application with inflation,1
Procedure,elective cancer surgery,1
Procedure,ecmo implantation,1
Procedure,ecg,1
Procedure,early definitive treatment,1
Procedure,double gloves,1
Procedure,direct laryngoscopy,1
Procedure,data collection: clinical care assessments,1
Procedure,curently used therapy for covid-19 non-critical patients,1
Procedure,ct-scan with minimal invasive autopsy,1
Procedure,invasive ventilation strategy,1
Procedure,cpap,1
Procedure,covid icu containment measures,1
Procedure,conventional oxygen therapy,1
Procedure,conventional oxygen,1
Procedure,convalescent plasma,1
Procedure,control,1
Procedure,continuous renal replacement therapy,1
Procedure,combined use of a respiratory broad panel multiplex pcr and procalcitonin,1
Procedure,emergency laparotomy,1
Procedure,emergency surgery,1
Procedure,emergency surgical procedures,1
Procedure,endoscopic intervention,1
Procedure,human biological samples,1
Procedure,hip arthropalsty,1
Procedure,high flow nasal cannula,1
Procedure,hfno,1
Procedure,hemodialysis by protein-leaking dialyzer for covid19 maintenance hemodialysis patients,1
Procedure,gastrointestinal endoscopy,1
Procedure,gastric cancer surgery,1
Procedure,follow-up at 14 days,1
Procedure,filiform needles,1
Procedure,fiberoptic bronchoscopy (fob),1
Procedure,facial fractures reduction or osteosynthesis,1
Procedure,extracorporeal left hemicolectomy anastomosis,1
Procedure,extended sampling and procedures,1
Procedure,expanded hemodialysis for covid19 maintenance hemodialysis patients,1
Procedure,evaluation of changes in the diagnostic-therapeutic pathway for patients affected by pancreatic cancer,1
Procedure,endotracheal intubation,1
Procedure,endoscopic procedure,1
Procedure,colorectal resections,1
Procedure,collection of tears and saliva.,1
Procedure,collection of mucosal lining fluid,1
Procedure,awake proning,1
Procedure,autopsy,1
Procedure,auricular neuromodulation,1
Procedure,auditory evoked potentials (aep),1
Procedure,appendicectomy,1
Procedure,appendectomy,1
Procedure,anesthesia management,1
Procedure,an69-standard,1
Procedure,an69-oxiris,1
Procedure,alveolar recruitment,1
Procedure,airway management during sedation or general anesthesia,1
Procedure,abdominal ultrasound,1
Procedure,a survey form was applied to individuals included in the study face-to-face.,1
Procedure,"""sham""-block with placebo (isotone nacl)",1
Other,"ıt will be compared pain, sleep, fatigue, physical activity level and quality of life and questioning exercise habits before and after the covid-19 outbreak in patients with behçet and fmf.",1
Other,zaritt burden interview,1
Other,work requirement exemption months,1
Other,wofb,1
Procedure,awake prone position,1
Procedure,bariatric procedures,1
Procedure,collection of biological samples,1
Procedure,biological sample collection,1
Procedure,clinical examination,1
Procedure,chest physiotherapy using a non-invasive oscillating device,1
Procedure,carotid artery ultrasound measure,1
Procedure,cardiac surgery,1
Procedure,bronchoalveolar lavage (bal),1
Procedure,bronchoalveolar lavage,1
Procedure,bone marrow harvest,1
Procedure,blood test,1
Procedure,blood sample for seroepidemiological investigation,1
Procedure,blood for research purposes,1
Procedure,blood for pharmacokinetic samples,1
Procedure,blood for anti-drug antibody (ada),1
Procedure,blood collection via fingerprick,1
Procedure,"blood collection at day 8, day 16, day 24, month 6 and month 12 after first symptoms from sars-cov-2 infection",1
Procedure,blink and masseter inhibitory reflex,1
Procedure,biopsies of subcutaneous adipose tissue,1
Procedure,biological samples specific to research,1
Procedure,intracorporeal left hemicolectomy anastomosis,1
Procedure,iv deployment of csvf in sterile normal saline iv solution,1
Other,stp + standard plasma (sp),1
Procedure,standard procedure,1
Procedure,surgical procedure for cancer,1
Procedure,surgery,1
Procedure,study arm,1
Procedure,steam inhalations,1
Procedure,standard therapy recommended by the ministry of health of the russian federation.,1
Procedure,standard therapy recommended by the ministry of health of the russian federation and dalargin intramuscular injection combined with dalargin inhalation,1
Procedure,standard therapy recommended by the ministry of health of the russian federation and dalargin intramuscular injection,1
Procedure,standard therapy recommended by the ministry of health of the russian federation and dalargin inhalation,1
Procedure,standard oxygen therapy,1
Procedure,laparoscopic appendectomy,1
Procedure,standard of care.,1
Procedure,standard of care,1
Procedure,standard care,1
Procedure,sphenopalatine ganglion block with placebo (isotone nacl),1
Procedure,sphenopalatine ganglion block with local anesthetic,1
Procedure,sham treatment,1
Procedure,scheduled surgery,1
Procedure,sars cov-2 swabs,1
Procedure,surgical procedures performed under general anesthesia,1
Procedure,surgical repair,1
Procedure,symptom and exposure surveys,1
Procedure,systematic offer of nurse-driven sars-cov-2 screening combined with usual practice,1
Radiation,angiography scanner,1
Radiation,99mtc-pertechnetate aerosol,1
Radiation,99mtc-pertechnetate,1
Procedure,yoga,1
Procedure,vital signs,1
Procedure,vie scope laryngoscopy,1
Procedure,venepuncture,1
Procedure,vascular surgery,1
Procedure,tracheotomy,1
Procedure,tracheostomy with aerosol box in covid-19 positive patients,1
Procedure,tracheostomy,1
Procedure,tracheal intubation and cardiopulmonary resuscitation,1
Procedure,thyroidectomy,1
Procedure,throat swab,1
Procedure,therapeutic plasma exchange (tpe),1
Procedure,"the study evaluates all surgical patients operated, both elective scheduled and emergent cases",1
Procedure,telephone follow-up,1
Procedure,robot assisted percutaneous cardiovascular intervention,1
Procedure,questionnaire,1
Procedure,pulmonary rehabilitation,1
Procedure,neonatal resuscitation without ppe for the prevention of sars-cov-2 infection,1
Procedure,"nasopharyngeal, oropharyngeal, or saliva swab",1
Procedure,nasopharyngeal and throat swab,1
Procedure,muscle biopsy,1
Procedure,mri scans,1
Procedure,modified cariescare international management,1
Procedure,mitral valve surgery,1
Procedure,microcannula harvest adipose derived tissue stromal vascular fraction (tsvf),1
Procedure,mesenchymal stem cells,1
Procedure,meditation therapy,1
Procedure,medical ozone procedure,1
Procedure,mechanical ventilation,1
Procedure,manual acupuncture,1
Procedure,lung ultrasound (lus),1
Procedure,lung ultrasound,1
Procedure,"liver, lung, heart and kidney biopsy",1
Procedure,lateral position (left and right lateral decubitus),1
Procedure,laparoscopic or open appendicectomy,1
Procedure,neonatal resuscitation with ppe for the prevention of sars-cov-2 infection,1
Procedure,non-cardiac surgery,1
Procedure,prone position ventilation,1
Procedure,non-invasive ventilation strategies,1
Procedure,prone position group,1
Procedure,prone position (pp),1
Procedure,press needles,1
Procedure,plasma exchange and convalescent plasma,1
Procedure,placenta-derived mmscs; cryopreserved placenta-derived multipotent mesenchymal stromal cells,1
Procedure,physical therapy,1
Procedure,physical examination,1
Procedure,photobiomodulation and photodynamic therapy,1
Procedure,percutaneous treatment,1
Procedure,orthopaedic surgical procedures,1
Procedure,oral fluid swab,1
Procedure,oral care with/without aerosolization,1
Procedure,operative management,1
Procedure,olfactory rehab,1
Procedure,obstetric anesthesia and analgesia,1
Procedure,observation for study group,1
Procedure,non-operative management,1
Other,woebot substance use disorder,1
Other,without masks,1
Other,wingate exercise test and on-ice testing while wearing a sham face mask,1
Other,teleconsultation either by phone or by computer consultation. quantitative and qualitative approaches to analysis,1
Other,telephone consult,1
Other,telemonitoring and teleorientation,1
Other,telemedicine to remote outpatient visit in bariatric patient,1
Other,telemedicine consultation,1
Other,telehealth monitoring,1
Other,telehealth applications,1
Other,telehealth,1
Other,telegeriatric intervention,1
Other,teleconsultation either by phone or by computer consultation,1
Other,wingate exercise test and on-ice testing while wearing a face mask,1
Other,teleconsultation,1
Other,telecare group,1
Other,tele-rheumatology,1
Other,tele-pulmonary rehabilitation,1
Other,tele-physiotherapy group,1
Other,tele-medicine platform,1
Other,tele-exergaming tablet,1
Other,taste and olfactory function evaluation,1
Other,telephone interview,1
Other,telephone survey,1
Other,"telerehabilitation i̇ntervention, motor learning",1
Other,telerehabilitation-based relaxation exercise group (eg),1
Other,there is no intervention in this study,1
Other,there is no intervention,1
Other,therapy group,1
Other,therapeutic plasma exchange : 3 sessions in 3 consecutive days (day 1 to day 3),1
Other,therapeutic plasma exchange,1
Other,therapeutic exercise and education,1
Other,therapeutic exercise,1
Other,the study does not required,1
Other,the standard protocol only,1
Other,the effects of covid 19 pandemic on the cardiovascular heath of children with autism spectrum disorder,1
Other,"the drugs used before and during the pandemic, the patient's job status, physical activity conditions, pain status",1
Other,"the covid-19 vaccines bnt162b2, mrna-1273 and chadox1",1
Other,the control group will not receive hydroxychloroquine,1
Other,testis pathology samples,1
Other,tested for sars-cov-2 (regardless of the result),1
Other,temporarily holding the raas inhibitor [intervention],1
Other,telestroke,1
Other,tap water,1
Other,taking biological samples,1
Other,t-detect™ sars-cov-2 assay,1
Other,"surgical face mask (vheal med co., ltd., istanbul, turkey)",1
Other,surge index,1
Other,surge capacity,1
Other,supportive tratment,1
Other,supportive services,1
Other,support as usual,1
Other,supine positioning,1
Other,supine position,1
Other,supervised stretching and strengthening exercise,1
Other,supervised exercise training protocol,1
Other,sudarshan kriya yoga (sky),1
Other,study of the synthesis of antibodies directed against sars,1
Other,study group,1
Other,study d,1
Other,study c,1
Other,study b,1
Other,study a,1
Other,stress and anxiety questionnaire,1
Other,"surgery: dynamic hip screw, hemiarthroplasty, hip replacement, intramedullary nail",1
Other,surgical face mask use only,1
Other,systemic indirect endovenous ozone therapy,1
Other,surgical facial mask,1
Other,symptoms questionnare,1
Other,symptoms entered into the covidx application,1
Other,"symptomatology, treatment. daily activities and anxiety for cardiovascular patients survey (strata)",1
Other,symptom survey,1
Other,symprove (probiotic),1
Other,sweat samples (covidog ancillary study),1
Other,swab,1
Other,suspension or maintenance of angiotensin receptor blockers and angiotensin-converting enzyme inhibitors,1
Other,surveys and questionnaires,1
Other,survey work,1
Other,survey to assess post traumatic stress and anxiety at inclusion and 6 months later,1
Other,survey research,1
Other,survey of sars-cov-19 knowledge,1
Other,survey of acceptability of the different self-samples.,1
Other,survey group,1
Other,survey and questionnaire,1
Radiation,high dose radiation 100 cgy,1
Other,this study is non- interventional,1
Other,this study is not an intervention study,1
Other,thoracic lung ultrasound,1
Other,vitaltalk communication skills training,1
Other,virtual individual cognitive simulation therapy,1
Other,virtual care at home,1
Other,virtual care and remote automated monitoring,1
Other,"virtual assistant first, then human coach",1
Other,viral sequence,1
Other,video-based intervention,1
Other,video-based,1
Other,video dance classes,1
Other,video call,1
Other,video based aerobic exercise,1
Other,venipuncture in peripheral vein,1
Other,vehicle + heparin along with best supportive care,1
Other,vcpm,1
Other,vas scale,1
Other,validation of the poct antigen and antibody tests,1
Other,validation of the ngs method,1
Other,validation of the lamp assays,1
Other,virtual village,1
Other,vitamin c,1
Other,vaccine,1
Other,vitamin d,1
Other,whoqol-bref survey,1
Other,whoqol-bref,1
Other,wfi 5% glucose,1
Other,weight counseling,1
Other,weekly assessment,1
Other,webex physical activity program,1
Other,web-based survey,1
Other,web-based redcap survey,1
Other,wearing surgical face mask sprayed with hypertonic saline,1
Other,"wearable devices, saliva samples, survey measures",1
Other,water (e) mouth rinse with the solution provided,1
Other,water,1
Other,washed microbiota transplantation,1
Other,walk test,1
Other,vv-ecmo,1
Other,volunteer of tip-oa program,1
Other,voice symptom scale (voiss),1
Other,vaccine coverage assessment,1
Other,vacciantion status in health care workers,1
Other,thrombin generation test assay,1
Other,treatment group,1
Other,treated with hyperimmune plasma,1
Other,treadmill exercise,1
Other,travelan otc,1
Other,transthoracic echocardiogram (tte),1
Other,transplant patient,1
Other,"training of youth, community health assistants and community health workers.",1
Other,training load,1
Other,training clinicians in basic critical care and the management of severe covid-19 cases,1
Other,traditional proning arm,1
Other,traditional communication tools,1
Other,tr,1
Other,toothpaste with tin fluoride,1
Other,toothpaste with sodium monofluorophosphate,1
Other,toothpaste with sodium fluoride and zinc,1
Other,tools development,1
Other,to determine the prevalence of renal dysfunction in hospitalized children with covid19 in qatar.,1
Other,thromboprofylaxis protocol,1
Other,treatment for covid-19,1
Other,trust in science message,1
Other,v/q spect-ct,1
Other,tsu,1
Other,usual treatments in intensive care unit according to the current state of knowledge,1
Other,usual orientations,1
Other,usual emergency department practice with physician-directed diagnostic testing,1
Other,usual care only,1
Other,usual care control,1
Other,usual antibiotic treatment,1
Other,users,1
Other,use of virus (covid-19) genome sequence report to inform infection prevention control procedures,1
Other,use of non-invasive ventilation,1
Other,use of high flow nasal cannula alone,1
Other,use of facetime with child and parents during induction,1
Other,use of continuous positive airway pressure,1
Other,urine samples,1
Other,urine collection,1
Other,unsupervised physical activities,1
Other,ultrasonography,1
Other,ultraprotective ventilation,1
Other,online cognitive stimulation therapy,1
Other,on-line survey,1
Other,olfactory retraining,1
Other,covid-19 vaccine,1
Other,cries 13 questionnaire,1
Other,cpc+zn,1
Other,cpc,1
Other,covid19,1
Other,covid-19-impact on quality of life questionnaire,1
Other,covid-19 vaccine hesitancy scale in rheumatic diseases,1
Other,covid-19 vaccine hesitancy associated factors,1
Other,covid-19 vaccine education campaign,1
Other,covid-19 treatments,1
Other,"data research, database analysis",1
Other,covid-19 survey,1
Other,covid-19 standard of care,1
Other,covid-19 serology,1
Other,covid-19 positive via testing,1
Other,covid-19 pneumonia,1
Other,covid-19 pcr and serology testing,1
Other,covid-19 monitoring using wearable sensors and smartphone technology,1
Other,covid-19 infection status,1
Other,cross sectional e-survey on surgeons exposed to any educational intervention,1
Other,cross sectional study using scientifically validated psychometric scales,1
Other,cross-sectional observational study,1
Other,cross-sectional study investigating the association of npis with mental health,1
Other,data collection up to 1 year,1
Other,data collection from medical files,1
Other,data collection from lumbar puncture,1
Other,data collection from blood draw,1
Other,data collection (,1
Other,data collecting,1
Other,dass-21 instrument (depression and anxiety),1
Other,dass questionnaire,1
Other,daily syndromic surveillance,1
Other,daily room disinfection,1
Other,customized questionnaire,1
Other,custom vr,1
Other,current care per ucla treating physicians,1
Other,ct-scan,1
Other,ct score,1
Other,cryo lung biopsies,1
Other,cross-sectional survey,1
Other,covid-19 facility,1
Other,covid-19 exposure,1
Other,covid-19 experience surveys,1
Other,convalescent sars covid-19 plasma,1
Other,convalescent plasma from recovered covid 19 donor,1
Other,convalescent plasma application to sars-cov-2 infected patients,1
Other,convalescent plasma,1
Other,convalescent immune plasma,1
Other,control patients,1
Other,control message,1
Other,control intervention,1
Other,control group quality of life assessment,1
Other,control group - waiting list,1
Other,"control group (pharmacotherapy and/or psychotherapy, n=10)",1
Other,control blend,1
Other,contrast-enhanced mri,1
Other,continuous exercise training,1
Other,continuation of arb/acei,1
Other,continuation of acei/arb,1
Other,consultation,1
Other,connor-davidson resilience scale 10 items (cd-risc 10),1
Other,convalescent plasma with antibody against sars-cov-2.,1
Other,conventional management of patients,1
Other,covid-19 e-package: psychological wellbeing for healthcare workers,1
Other,conventional physical therapy,1
Other,covid-19 antibody test,1
Other,covid-19 and intensive care,1
Other,covid-19 + patients,1
Other,covid wheld,1
Other,covid watch,1
Other,covid visitation restrictions,1
Other,covid rehabilitation program for the elderly (core),1
Other,covid positive via testing,1
Other,covid 19 self-questionnaire,1
Other,covid 19 impact,1
Other,covicu,1
Other,coverall personal protective equipment (ppe-c) suit,1
Other,cost,1
Other,coronavirus disease 2019,1
Other,"coronavirus anxiety scale , covid-19 phobia scale",1
Other,conventional vaccine,1
Other,conventional treatment,1
Other,data monitoring for 48h within the first 24 hours of admission for covid-19,1
Other,decision science-based design,1
Other,olfactory and gustatory tests,1
Other,encephalography measurement,1
Other,epidemiological and demographic characteristics,1
Other,epic risk score display,1
Other,epi-net intervention,1
Other,epds (edinburgh postnatal depression scale),1
Other,eno breathe group,1
Other,enduring happiness and continued self-enhancement (enhance) for covid-19,1
Other,endotracheal intubation,1
Other,endoscopic management according to standard of care,1
Other,emergency general surgical admissions,1
Other,decision tool for clinicians,1
Other,embarrassment message,1
Other,elmo project at covid-19: study in humans,1
Other,electronic survey questionnaire,1
Other,electronic survey,1
Other,electrolytes,1
Other,eit-group,1
Other,eeg based protocol for deep sedation,1
Other,"educational, culturally appropriate covid-19 messages",1
Other,epidemiology of admissions,1
Other,eproms assessment,1
Other,equipment with smartwatch throughout hospital stay on the general ward,1
Other,escola john talabot,1
Other,experts consensus,1
Other,experimental: questionnaire without precaution information,1
Other,experimental: active care group,1
Other,experience of pandemic,1
Other,exercise training group,1
Other,exercise program,1
Other,exercise manual,1
Other,exercise group,1
Other,exercise capacity,1
Other,exercise booklet,1
Other,evaluation of the epidemiological characteristics of coronavirus infection (sars-cov-2),1
Other,evaluation of skin microvascular flow and reactivity,1
Other,evaluate hacor score effectivity in this patients,1
Other,essential oil blend,1
Other,essence oils,1
Other,esoger,1
Other,escola l'horitzó,1
Other,educational video,1
Other,educational program (cartoon),1
Other,edinburgh postnatal depression scale (edps),1
Other,dig axial,1
Other,differences in triage,1
Other,dietary supplement,1
Other,dietary intervention,1
Other,"dietary counselling on food groups according to iyc feeding practices, who",1
Other,diet tracking and survey,1
Other,dialysis,1
Other,diagnostic test,1
Other,diabetes type 2,1
Other,"determination of physical activity, quality of life, stress levels of isolated people at home with the danger of coronavirus.",1
Other,detection of oral lesions,1
Other,description of groups caracteristics,1
Other,"depression, anxiety and stress scale",1
Other,depression,1
Other,demographic and clinical data obtained from hospital's electronic medical record.,1
Other,deep venous disease diagnostic,1
Other,deep breathing training,1
Other,dect,1
Other,difficulties lived by disabled children's parents in the period of covid-19 pandemic,1
Other,dig tilted,1
Other,economic freedom message,1
Other,digital cardiac counseling,1
Other,economic benefit message,1
Other,echocardiography,1
Other,ecg-holter,1
Other,eat-26 questionnaire,1
Other,dysphagia handicap index (dhi),1
Other,dysautonomia,1
Other,during covid-19 pandemic,1
Other,"duration of hospitalization, mortality rate",1
Other,drugs and supportive care,1
Other,draw blood,1
Other,double-trunk mask,1
Other,doppler echo,1
Other,distilled water with the same colorant as the experimental product,1
Other,dissemination and implementation research,1
Other,discontinuation of arb/acei,1
Other,discontinuation of acei/arb,1
Other,digital storytelling intervention,1
Other,congenital malformation,1
Other,concentrated rehabilitation for patients with persistent symptoms post covid-19,1
Other,concentrated oxygen,1
Other,baseline blood sample,1
Other,best available therapy,1
Other,best available care,1
Other,bereavement virtual support group,1
Other,beck depression inventory (bdi),1
Other,beck depression inventory,1
Other,beck anxiety inventory,1
Other,basic treatment,1
Other,baseline message,1
Other,baseline and during hospitalization blood samples,1
Other,concentrated air,1
Other,balance assessments,1
Other,bacterial species isolated,1
Other,awake proning,1
Other,autopsy,1
Other,autologous stem cell transplantation,1
Other,auto-questionnaires (patients co infected hiv sras-cov-2),1
Other,auricular stimulation,1
Other,attendance by ambulance crew,1
Other,best standard of care,1
Other,betadine (c) mouth rinse with the solution provided,1
Other,big five inventory (bfi) scale,1
Other,biobank,1
Other,blood samples for the study of the humoral response to sars-cov-2 variants and of the cellular response after vaccination against covid-19,1
Other,blood sample and data record,1
Other,blood sample analyses,1
Other,blood donation from convalescent donor,1
Other,blood d-dimer assay,1
Other,blood collection,1
Other,blood and derivatives.,1
Other,biospecimen collection,1
Other,biomedomics covid-19 igm-igg rapid test,1
Other,biomarkers in the long term impact of coronavirus infection in the cardiorrespiratory system,1
Other,"biological samples, questionnaires and interviews",1
Other,biological samples collection,1
Other,biological samples,1
Other,biological sample and clinical data collection,1
Other,biological sample,1
Other,biocollection,1
Other,biochemical analysis,1
Other,asynchronous telerehabilitation programme,1
Other,assisting to the event,1
Other,assessment of the sequelae after hospitalization for sars-cov-2,1
Other,"analysis of cytokine response, innate and adaptive immune response, complement activation, and serum neurofilaments as a marker of neurological damage.",1
Other,analysis of blood samples,1
Other,analog scale,1
Other,an auto-questionnaire comprising three psychometric scales,1
Other,alternate nostril breathing,1
Other,all treatment about covid-2019,1
Other,alcohol-based hand sanitizer,1
Other,alcohol mouthwash (listerine) (d) mouth rinse with the solution provided,1
Other,alcohol based hand sanitizer,1
Other,airway pressure release ventilation,1
Other,airwave oscillometry,1
Other,after-each-case room disinfection,1
Other,after covid-19 pandemic,1
Other,aerobic training,1
Other,aerobic exercises,1
Other,aerobic exercise therapy,1
Other,admission to icu for covid-19,1
Other,adjunctive therapies,1
Other,analysis of cell-mediated and antibody-mediated immunity to sars-cov-2 virus,1
Other,anger message,1
Other,assessment of postnatal depression using the the edinburgh questionnaire between 4 and 6 weeks after delivery,1
Other,anonymous survey,1
Other,assessment of dietary changes in adults in the quarantine,1
Other,"assessment of coagulopathy, platelets activation and platelets-neutrophils interplay",1
Other,assessing the impact of covid-19,1
Other,assembled mask,1
Other,ashmolean website,1
Other,ardsnet,1
Other,ards and covid19 treatments,1
Other,arbs and/or ace inhibitors,1
Other,apps,1
Other,application of cdss to provide nutritional care in breast cancer patients from home,1
Other,appendectomy,1
Other,anxiety and depression assessment,1
Other,anxiety,1
Other,antithrombotic therapy (anticoagulant and/or antiplatelet) before admission for covid19,1
Other,antidiabetic treatment,1
Other,antibody-rich plasma from covid-19 recovered patients,1
Other,anti-sars-cov-2 antibody testing,1
Other,blood sampling (4 per year),1
Other,blood sampling for biobank,1
Other,"blood tests sputum, nasal lavage and brushing",1
Other,colgate total® mouthwash,1
Other,colgate peroxyl® mouthwash,1
Other,colgate periogard® mouthwash,1
Other,cognitive tests,1
Other,cognitive testing,1
Other,cognitive performance test,1
Other,cognitive behavioural group therapy for perinatal anxiety,1
Other,"cognitive behavior therapy (cbt), specifically using the facing your fears (fyf) curriculum",1
Other,coca is an observational study based on retrospective data issued from patient medial file.,1
Other,cns magnetic resonance imaging (mri) imaging,1
Other,closed face shield with surgical face mask use,1
Other,"clinical, laboratory and imaging characteristics of pneumonia",1
Other,"clinical, functional and radiological lung involvement evolution",1
Other,clinical trial matching,1
Other,clinical observation,1
Other,clinical interview,1
Other,clinical diagnosis of covid-19 by a health care professional,1
Other,cig tilted,1
Other,colgate total zero,1
Other,"collection of blood, salivary and nasopharyngeal samples.",1
Other,chx0.12+cpc0.05 oral rinse (perioaidactive control),1
Other,collection of samples,1
Other,comprehensive treatment,1
Other,complication,1
Other,complex diagnostic panel,1
Other,completion of survey after peak of pandemic,1
Other,completion of pre-pandemic survey,1
Other,completion of post telemedicine encounter survey,1
Other,complementary and alternative medicine,1
Other,compassion focused intervention,1
Other,comparator,1
Other,comparative observational cohort study,1
Other,community-driven messages to promote covid-19 testing,1
Other,community popular opinion leader (pol) based intervention,1
Other,community mask,1
Other,community interest message,1
Other,community health worker support,1
Other,communication type,1
Other,colonoscopy,1
Other,cig axial,1
Drug,desidustat,1
Other,body position change,1
