InterventionName_lower,Freq
"no intervention, this is an observational study that uses validated questionnaires and qualitative interviews..",1
no message,1
"no intervention, observational",1
"no intervention, observation only",1
"no intervention will be administered, this is a retrospective observational study.",1
no intervention planned due to the observational study design only a diagnostic testing,1
no intervention planned due to the observational study design - only a diagnostic testing,1
no intervention performed,1
no intervention on patients,1
no intervetion will be used,1
no messaging,1
niclosamide suspension,1
noa-001,1
non-contact magnetically-controlled capsule endoscopy,1
non-contact ecg,1
non-cardiac surgery,1
non-acei/arb,1
non narrow band ultraviolet b-band light,1
non invasive visual acuity testing,1
non intervention,1
no-immunosuppressive,1
no personal protective equipment (ppe),1
no video,1
no special intervention,1
no severe covid-19,1
no screening testing strategy,1
no rinsing,1
no research related technology based social interactions,1
no racial inequality highlighting,1
no intervention is planned,1
no intervention as it is an observational study,1
no intervention / evaluation of the ferritin and glycosylated ferritin by standard approved serological tests,1
nintedanib 150 mg [ofev],1
nitazoxanide tablets,1
nitazoxanide placebo,1
nitazoxanide and ciclésonide,1
nitazoxanide and atazanavir/ritonavir,1
nitazoxanide 500mg oral tablet,1
nitazoxanide 500 mg,1
nio® (intraosseous access),1
nintedanib 150 mg,1
no intervention / compare the difference in respiratory rate between h0 and h12 of the initiation of morphine between the control and interventional groups,1
nil intervention,1
nigella sativa seed,1
nigella sativa oil,1
nigella sativa / black cumin,1
nigella,1
nicotine patch,1
nicotine 7 mg/ 24h transdermal patch - 24 hour,1
nitrate-deplete beetroot juice,1
nitric oxide 0.5 % / nitrogen 99.5 % gas for inhalation,1
nitric oxide delivered via lungfit™ system,1
"nitric oxide lozenges, 30 mg",1
no intervention - quality of life measure,1
no intervention - exposure is to covid-19,1
no intervention (survey study for medical doctors).,1
no intervention (only interview),1
no activities of the hbcc project and also no soap (pure control),1
no active intervention (observational only),1
nk-1r antagonist,1
"nk cells,il15-nk cells,nkg2d car-nk cells,ace2 car-nk cells,nkg2d-ace2 car-nk cells",1
nk cells,1
ni̇cas,1
nivolumab injection,1
nitroglycerin,1
nitric oxide-sessions,1
nitric oxide-releasing drug,1
nitric oxide-continuous and sessions,1
nacl solution,1
nacl 0.9%,1
nac + bromhexine (bmx),1
moderate exercise training (age group 3; above 45 years),1
modified cariescare international management,1
modified bai he gu jin tang,1
modification of the planned therapeutic management,1
moderna mrna-1273 vaccine,1
"moderna covid-19 vaccine, mrna-1273 (100 μg)",1
moderna,1
moderate intensity aerobic exercises,1
moderate exercise training (age group 2; 31 to 45 years),1
modified rankin score,1
moderate exercise training (age group 1; young adult 17 -30 years),1
model validation,1
model building,1
modafinil,1
mobile phone support,1
mobile mental health app - 4,1
mobile mental health app - 3,1
modified ipac-uhn ppe,1
molecular assessment of saliva,1
na-831and dexamethasone,1
monitoring physiological data with the hexoskin smart shirt,1
monthly serologic igm/g test,1
montelukast plus favicovir (favipiravir),1
montelukast oral tablet,1
montelukast 10mg,1
monitoring visit - week 8,1
monitoring visit - week 4,1
monitoring visit - baseline,1
monitoring of the immune response,1
molecular hydrogen,1
monitoring for aggravation,1
monalizumab,1
mon002,1
mometasone furoate nasal spray,1
molixan,1
molgramostim nebuliser solution,1
molecular testing for virus rna using rt-pcr,1
mobile mental health app - 2,1
mobile mental health app - 1,1
mobile internet survey on self-test,1
"micronized and ultra-micronized palmitoylethanolamide (mpea and umpea, 300mg + 600mg) oral suspension",1
mindfulness intervention,1
mindfulness based cognitive therapy for resilience during covid-19 plus chamindwell,1
mindfulness alone (mo) intervention,1
mindfulness + compassion intervention (mc),1
mindfullness based cognitive program,1
mind body syndrome therapy for long covid,1
microscopy of defined brain regions on autopsy specimens,1
"microcrystalline cellulose, nf",1
mmrc (modified medical research council) dyspnea scale,1
microcrystalline cellulose capsule,1
microcirculation recording,1
microcannula harvest adipose derived tissue stromal vascular fraction (tsvf),1
microbiome spray,1
microbiome immunity formula,1
mhealth platform,1
mhealth assessments,1
mindfulness program,1
mindfulness rounds,1
mindfulness session(s),1
mindfulness training,1
mmr vaccine,1
mls laser,1
mk-5475,1
"mixture 3,6% h2 in n2 (96.4%)",1
mitral valve surgery,1
minnrap peer support program,1
miniprobe alveoflex,1
minimal attention control intervention,1
mindrhythm harmony,1
mindfulness-sos for refugees,1
mindfulness-based stress reduction,1
mindfulness-based health promotion,1
mindfulness-based cognitive therapy,1
mindfulness training program,1
mindfulness training (mt) connect,1
montmorrillonite,1
morning yoga-based breathing support,1
mortality,1
multitest 6 color tbnk and bd lyotubes,1
museum virtual guided tours,1
musclesound ultrasound,1
muscle-target oral nutritional supplementation,1
muscle relaxation therapy,1
muscle relaxation,1
muscle biopsy,1
multivitamin with 11mg of zinc,1
multisystem inflammatory syndrome in children (mis-c),1
mucodentol,1
multistem,1
multiple doses of anti-sars-cov-2 convalescent plasma,1
multipeptide cocktail,1
multimodal teleprehabilitation,1
multifrequency bioimpedance spectroscopy,1
multiecco2r blood-gas exchanger,1
multicapillary column coupled ion mobility spectrometry,1
music therapy,1
mva-sars-2-s vaccinations (days 0 & 28),1
mva-sars-2-st,1
mvc-cov1901,1
na-831 and atazanavir,1
na-831,1
na (no intervention),1
n95 respirator,1
n95 mask,1
n/a - samples collected along routine care samples only,1
n-acetylcysteine (nac),1
n-acetyl glucosamine (nag),1
n-95 respirator,1
n-803,1
"n terminal pro b type natriuretic peptide (ntprobnp), d-dimer, and serum tropinin - i",1
mvc-cov1901(saline),1
mvc-cov1901(s protein with adjuvant),1
mvc-cov1901(mid-dose),1
mvc-cov1901 (high-dose),1
multi-omics,1
mstt1041a-matched placebo,1
motivation,1
mouthrinse without bêta-cyclodextrin and citrox,1
mr-pro-adm,1
mr or m-m-r ii ® vaccine,1
mpt0b640,1
moxifloxacin or levofloxacin,1
moxibustion plus cupping,1
mouthwashes and nose rinse in a conventional way,1
mouthwash and nose rinse with the agnps solution,1
mouthrinse with bêta-cyclodextrin and citrox,1
mstt1041a,1
"mouthpiece b1(mouthpiece mpc-st gmdn:62534 generic name: endoscopic bite block, basic, reusable",1
motivational telephone intervention,1
motivational social support from nurse with additional support from significant other,1
motivational social support from nurse,1
motivational messages,1
motivational interviewing and covid-19 symptom monitoring system,1
motivational interviewing,1
mrg-001,1
"mri (heart, brain, lungs, liver)",1
mri scans,1
mrna covd19 vaccine,1
msct,1
mscs-derived exosomes,1
mscs,1
msc-exosomes delivered intravenously every other day on an escalating dose: (2:4:8),1
msc-exosomes delivered intravenously every other day on an escalating dose (8:4:8),1
msc-exosomes delivered intravenously every other day (8:8:8),1
msc treatment,1
mrx-4dp0004,1
mrna-1283,1
mrna-1273.211,1
mrna-1273 vaccine,1
mrna-1273 sars-cov-2 vaccine from moderna,1
mrna-1273 sars-cov-2 vaccine,1
mrna in urine test,1
mrna covid-19 vaccine,1
non-contact mce system,1
non-convalescent fresh frozen plasma (standard plasma),1
non-convalescent plasma (control plasma),1
part a: upamostat 200 mg,1
passed infection of sars-cov-2,1
particle measurement,1
participate in a massive musical event,1
partially hla-matched sars-covsts,1
partial vepmp intervention,1
part b: upamostat 200 or 400 mg,1
part a: upamostat 400 mg,1
part a and b: placebo,1
"patch, nicotine",1
parentchat for parents of children ages 2-17,1
parent positive,1
paraclinical examination,1
pandemic period,1
pandemic control measures,1
pamrevlumab,1
palmitoylethanolamide,1
passive microwave radiometry,1
"patch, placebo",1
oral-b mouth sore mouthwash,1
patient quality of life assessment,1
patients covid 19,1
patients admitted to intensive care unit with sars-cov2,1
patients admitted in intensive care units,1
patient-centred advice on telephone consultation in tb patients:,1
patient with sar-cov-2 infection,1
patient status engine,1
patient sampling,1
patient mychart scheduling link,1
pathogen reduced sars-cov-2 convalescent plasma,1
patient management suffering of coronavirus infection,1
patient health questionnaire-9 (phq-9),1
patient health questionnaire (phq-9),1
patient educational video,1
patient education,1
patient characteristics,1
pathogen-specific aapc,1
race concordant,1
pacebo: calcium citrate,1
p2y12,1
oseltamivir 75mg,1
outpatient mri,1
otilimab,1
others(no intervention),1
other vaccine against sars-cov-2,1
ot-101,1
osteopathic manipulative treatment (omt),1
osoc,1
orthopaedic surgical procedures,1
p2et (caesalpinia spinosa extract),1
ortd-1 mid dose,1
ortd-1 low dose,1
ortd-1 high dose,1
oropharyngeal swabs,1
oropharyngeal swab,1
oropharyngeal and intestinal microbiota,1
orally suspension of cov2-ogen1,1
overcoming anxiety in pregnancy and postpartum online self-directed program,1
overnight intensive recovery / extended post anaesthetic care in pacu,1
ovotransferrin,1
oxaloacetate medical food/dietary supplement,1
ozonized oil (hoo,1
ozone auto-hemotherapy,1
ozanimod,1
oxytocin,1
oxyhydrogen,1
"oxygen-ozone therapy, probiotic supplementation and standard of care",1
oxygen treatment,1
oxygen supply,1
oxygen saturation monitoring,1
oxygen mask,1
oxygen hood,1
oxygen gas,1
oximen® 3%,1
oxidative stress elisa kit,1
oxford-astrazeneca covid-19 vaccine,1
patients received standard of care treatment during hospitalization,1
patients receiving nasal high flow,1
patients recovering from covid19 receive usual care by allied health professionals,1
pertuzumab and trastuzumab fixed-dose combination for subcutaneous administration (ph fdc sc),1
pfizer-biontech covid-19 vaccine,1
pfizer comirnaty vaccine,1
pfizer,1
pf-07321332/ritonavir,1
pf-07304814,1
pf-06650833,1
pet-ct of 18f-fdg,1
personalized health education,1
personal exercise intervention,1
personalized ambulatory training,1
personal risk messaging,1
personal protective testing booth,1
personal protective measures,1
personal protective equipment from biological hazard,1
personal protective equipment (ppe),1
personal protective equipment,1
pfizer-biontech covid-19 vaccine bnt162b2 (30 µg)( comirnaty®),1
phage therapy,1
phase 3 cardiac rehabilitation,1
philips lumify ultrasound system,1
physical activity level,1
physical activity counseling,1
physical activity,1
phsyiotherapy,1
phr160 spray,1
phq-9 depression scale,1
phq-9 (patient health questionnaire) depression scale,1
phq-9 (9-item patient health questionnaire),1
photobiomodulation and photodynamic therapy,1
phosphate-buffered saline,1
phone-call screening and management by a medical student/general practitioner tandem,1
phone-based monitoring,1
phone interviews,1
phone interview,1
phlebotomy,1
personal freedom message,1
personal behaviours,1
patients with hemopathy,1
pectin,1
pegylated interferon-α2b,1
pegylated interferon lambda,1
peginterferon lambda alfa-1a subcutaneous injection,1
peginterferon beta-1a,1
peer resilience champion,1
peer mentor delivery,1
peep trial,1
pealut,1
peroxyl,1
pdno,1
pd-1 blocking antibody+standard treatment,1
"pcr, lung ultrasound",1
pcr value,1
pcr for covid-19,1
pcl cov05 - covid 19 ag rapid fia test (rapid antigen test),1
patients with the treatment agains covid19,1
pembrolizumab (mk-3475),1
pemziviptadil (pb1046),1
pentaglobin,1
pentarlandir™ uppta,1
peripheral venous ultrasound,1
peripheral lymphocytes subsets,1
peripheral blood sampling,1
peripheral blood samples,1
peripheral blood,1
periogard,1
performing routine care (clinical and paraclinical tests),1
performing of lung ultrasound,1
performance of the test antigenic and test rt-pcr,1
performance evaluation study of realdetect rt-pcr kit for covid-19 detection,1
performance evaluation (sensitivity and specificity) for covid-19 diagnosis of the vocus ptr-tof process,1
percutaneous treatment,1
percutaneous coronary revascularization for stemi,1
perceived stress scale,1
pep flute,1
oral-b® gum & enamel care -cetylpyridinium chloride,1
oral supplement enriched in antioxidants,1
non-enhanced ct scan of the chest,1
nutrition consult and protein supplementation,1
obesity,1
nvx-cov2373,1
nuvastatic,1
nutritional support system (nss),1
nutritional intervention,1
nutritional assessment,1
nutrition support,1
nutrition,1
observation group 1,1
nusepin® 0.2 mg,1
nusepin® 0.1 mg,1
"nusapure standardized olive leaves capsule, 750 mg (50% oleuropein)",1
"nursing care to reduce anxiety, fear and loneliness",1
nurse-community-family partnership intervention,1
nudge,1
nt-i7,1
observation for study group,1
observation no intervention,1
oral polio vaccine + information,1
observational measurement of biometric data. no change to health care provided.,1
"obtainment of nasopharyngeal, oropharyngeal, buccal, nasal and saliva samples",1
obstetric anesthesia and analgesia,1
observational study: this registry data will provide more specific information about how people with blood cancer respond to covid-19 virus and/or a covid-19 vaccination.,1
observational study only,1
observational study - no intervention,1
observational only,1
observational of different courses of sars-cov-2 infection in different phases (acute vs. post-acute) and settings,1
observational cohort study on the natural history of hospitalized sars-cov-2 patients.,1
observation of behavior and covid-19 infection will be conducted.,1
observational (registry),1
observation to monitor patients for these infections,1
observation only,1
"observation of patients with known, suspected, or at risk for covid-19 infection",1
observation of different courses of sars-cov-2 infection in different phases (acute vs. post-acute) and settings,1
observation of covid 19 pneumonia,1
observation of breathing pattern,1
nricm101,1
np-120 (ifenprodil),1
nox66,1
non-ras blocking antihypertensives,1
noninvasive ventilation,1
"none, this study is observational",1
none - observational,1
none - na,1
none - descriptive study,1
none (observational study),1
none (not interventional),1
non-operative management,1
novel laser inferometry test for corona virus,1
non-mindfulness intervention,1
non-invasive ventilatory support,1
non-invasive ventilation strategies,1
non-invasive red lllt treatment to chest of patient.,1
non-invasive cardiac imaging,1
non-interventional study,1
non-hospitalization procedures,1
noninvasive ventilation treatment,1
nordell double e-100 layer mask,1
nordell single e-100 layer mask,1
normal saline infusion + standard of care,1
novel coronavirus infection,1
not required,1
not bravery message,1
"not applicable, this is an observational study",1
not applicable as observational study,1
not applicable (observational study),1
not applicable (na),1
nosocomial infection/hospital acquired infection,1
"normal saline solution (nss), placebo, day 21 - phase 2",1
"normal saline solution (nss), placebo, day 21 - phase 1",1
"normal saline solution (nss), placebo, day 189 - phase 2",1
"normal saline solution (nss), placebo - phase 2",1
"normal saline solution (nss), placebo - phase 1",1
normal saline placebo,1
normal saline intranasal,1
obvio-19 app,1
occupational health workers,1
octagam,1
online survey questionnaire,1
opt-in (call-back),1
ophtamesone,1
operative management,1
open label bss (pepto bismol),1
op-101,1
onsite point-of-care,1
only standard treatment,1
online survey about dietary and lifestyle habits,1
online intervention mental health covid-19,1
online support group,1
online social network and collective intelligence intervention,1
online self-help intervention,1
online questionnaire and interviews,1
online psychological intervention for healtchare workers,1
online mindfulness group,1
online lifestyle intervention,1
opt-in (in-bound),1
opt-in recruitment email,1
opt-out framing,1
opt-out recruitment email,1
oral ivermectin,1
oral intervention with cetylpyridinium chloride,1
oral fluid swab,1
oral co-trimoxazole,1
oral care with/without aerosolization,1
oral and nasal spray by distilled water to control group,1
oral administration of colchicine plus herbal phenolic monoterpene fractions,1
oral 25-hydroxyvitamin d3,1
oral 13 cis retinoic acid,1
oral,1
optional questionnaire completion,1
optional blood completion,1
optimized management of covid-19 positive kidney transplant recipients: single center experience from the middle east,1
optical coherence tomography angiography,1
optical coherence tomography (oct),1
online kkh sports singapore program with usual care,1
online intervention grief covid-19,1
octagam 10%,1
olfactometry,1
omalizumab,1
olo-1 medical molecular sieve oxygen generator,1
olfactory test,1
olfactory retraining,1
olfactory rehab,1
olfactory device,1
olfactory and gustatory tests,1
olfaction testing,1
online instruction,1
old ppe,1
"ol-1, standard dose",1
"ol-1, high dose",1
ointment and dressing for external use,1
off the shelf vr,1
odd/even birth year intervention groups,1
octaplas,1
omega 3 fatty acid,1
omega 3/nigella sativa oil,1
omega 3/nigella sativa oil/anise seed capsule,1
omega 3/nigella sativa oil/deglycyrrhizinated licorice,1
online cognitive stimulation therapy,1
online cognitive behavioral therapy (cbt),1
online bibliotherapy programme,1
one dose of bnt162b2 vaccine,1
one covid-19 vaccine candidate (tmv-083) administration - high dose,1
on-site testing (lumiradx),1
on-line survey,1
omnibiotic aad,1
omni-biotic pro vi 5,1
omeprazole 20mg,1
omegaven®,1
omega-3 fatty acid supplement,1
omega dha / epa,1
omega 3/nigella sativa oil/quinine pills,1
omega 3/nigella sativa oil/indian costus,1
raas inhibitor [continued standard of care],1
rhea health tone®,1
racial inequality highlighted,1
thoracic ct-scan,1
"three doses of placebo at the schedule of day 0, 14, 28 #high-dose group#",1
"three doses of middle-dose recombinant sars-cov-2 vaccine (cho cell) at the schedule of day 0, 14, 28",1
"three doses of high-dose recombinant sars-cov-2 vaccine (sf9 cell) at the schedule of day 0, 14, 28",1
"three doses of high-dose recombinant sars-cov-2 vaccine (cho cell) at the schedule of day 0, 14, 28",1
thoraxic computed tomography,1
thorax ct,1
thoracic lung ultrasound,1
thoracic ct scan,1
"three doses of placebo at the schedule of day 0, 14, 28（high-dose group）",1
thoracic computed tomography scan,1
this study is not an intervention study,1
this study is non- interventional,1
thiazide or thiazide-like diuretics,1
thermography,1
there is no intervention in this study,1
there is no intervention,1
"three doses of placebo at the schedule of day 0, 14, 28 #middle-dose group#",1
threshold imt device,1
therapy group,1
thymosin+standard treatment,1
"tinzaparin, high dose prophylactic anticoagulation",1
tinzaparin or unfractionated heparin,1
time management & participation & the leisure time activity,1
tigerase® and best available care,1
tice® bcg (for intravesical use) bcg live strain of the bcg (merck) vaccine,1
ticagrelor,1
thyroidectomy,1
thymosin alpha 1,1
throat swab sample for measuring current infection with sars-cov-2,1
thymic peptides,1
thromboprophylaxis with low-molecular-weight heparin or fondaparinux,1
thromboprophylaxis,1
thromboprofylaxis protocol,1
thrombomodulin modified thrombin generation assay (tga-tm),1
thrombin generation test assay,1
thrombin generation assay (tga),1
therapy intervention,1
theraputic heparin,1
treated with hyperimmune plasma,1
text message content,1
the effects of covid 19 pandemic on the cardiovascular heath of children with autism spectrum disorder,1
"the drugs used before and during the pandemic, the patient's job status, physical activity conditions, pain status",1
"the demographic, clinical, laboratory, and instrumental data",1
"the covid-19 vaccines bnt162b2, mrna-1273 and chadox1",1
the control group will not receive hydroxychloroquine,1
thawed plasma,1
text messaging only,1
text material for psychoeducation and audio for relaxation techniques,1
"the pop02 study is collecting bodily fluid samples (i.e., whole blood, effluent samples) of children prescribed the following drugs of interest per standard of care:",1
tetrandrine,1
tetracycline hydrochloride 3%,1
testnpass,1
testis pathology samples,1
testing sensitivity for sars-cov-2 virus in symptomatic individuals,1
testing procedure for binding antibodies,1
testing of sars-cov-2 antibodies,1
the icp monitoring will be performed in a non-invasive method developed by brain4care,1
the prepare program,1
therapist guided e-therapy,1
the vie scope laryngoscope,1
therapeutic plasmaexchnage,1
therapeutic plasma exchange : 3 sessions in 3 consecutive days (day 1 to day 3),1
therapeutic exercise and education,1
therapeutic exercise,1
theram covid-19 rapid antigen test,1
theory-based messages,1
theophylline powder,1
the usual treatment,1
the psychosocial effects of covid-19 pandemic on dental professionals,1
the use of the mentalplus® digital game for assessment and rehabilitation of cognitive function after remission of the symptoms of covid-19,1
"the study evaluates all surgical patients operated, both elective scheduled and emergent cases",1
the study does not required,1
the standard therapy,1
the standard protocol only,1
the standard of care,1
the standard macintosh laryngoscope,1
"tinzaparin, low dose prophylactic anticoagulation",1
"tinzaparin,therapeutic anticoagulation",1
tirofiban injection,1
"training of youth, community health assistants and community health workers.",1
transcendental meditation (tm),1
transcendental meditation,1
trans sodium crocetinate,1
tranexamic acid tablets,1
tramadol,1
"training video on anxiety, fear and loneliness in the covid-19 environment.",1
training session adressing information and health literacy,1
training load,1
transcutaneous auricular vagus nerve stimulation,1
"training for awareness, resilience, and action (tara)",1
training clinicians in basic critical care and the management of severe covid-19 cases,1
traditional proning arm,1
traditional communication tools,1
traditional chinese medicine prescription,1
traditional antirheumatic drugs,1
tradipitant,1
transcendental meditation (tm) and experience resolution methodology (erm),1
transdermal estradiol gel,1
tissue plasminogen activator,1
transpulmonary thermodilution,1
treadmill test (bruce protocol),1
treadmill exercise,1
travelan otc,1
trauma-informed yoga video recording,1
trauma informed yoga,1
trauma informed psychotherapy,1
transthoracic echocardiogram (tte),1
transpulmonary pressure measurements,1
transfer package from ci therapy,1
transplant patient,1
transparent sheet,1
transparent mask,1
transitional online peer support group (n=20),1
transfusion of standard plasma.,1
transfusion of sars-cov-2 convalescent plasma.,1
transfusion of covid-19 convalescent plasma,1
tracheotomy,1
tracheostomy with aerosol box in covid-19 positive patients,1
tracheostomy,1
to assess for development of igg antibodies against sars-cov2,1
tocilizumab 20 mg/ml intravenous solution [actemra],1
tocilizumab 180 mg/ml,1
tocilizumab +/- ruxolitinib (stages 2b/3),1
tociliuzumab,1
tobacco use,1
to monitor the effectiveness of the single dose ad26.cov2.s covid-19 vaccine,1
to determine the prevalence of renal dysfunction in hospitalized children with covid19 in qatar.,1
tnkase,1
tracheal intubation and cardiopulmonary resuscitation,1
tm5614,1
tlrs activation measurement,1
tlc19 vehicle,1
tlc19,1
tl-895,1
tj003234,1
titanium blood test,1
tocilizumab 20 mg/ml intravenous solution [actemra]_#1,1
tocilizumab 20 mg/ml intravenous solution [actemra]_#1 (2 doses),1
tocilizumab 200 mg/10 ml (20 mg/ml) intraven vial (ml),1
tocilizumab and ruxolitinib (advanced stage 3),1
tr,1
tpa,1
tozinameran,1
toremifene,1
toraymyxin pmx-20r (pmx cartridge),1
topical steroids and cyclosporin-a,1
toothpaste with tin fluoride,1
toothpaste with sodium monofluorophosphate,1
toothpaste with sodium fluoride and zinc,1
tools development,1
tomeka®,1
tom's botanically bright peppermint,1
tof protocol,1
tocilizumab prefilled syringe,1
tocilizumab injection [actemra],1
testing for sars-cov-2 rna,1
testing for sars-cov-2 igm/igg,1
testing for sars-cov-2,1
suspected of covid-19 infection,1
symptom and exposure surveys,1
symprove (probiotic),1
sweat samples (covidog ancillary study),1
swallowing evaluation with the eat-10 and the volume-viscosity swallowing test (v-vst),1
swabbing of conjunctiva,1
swab,1
suspension or maintenance of angiotensin receptor blockers and angiotensin-converting enzyme inhibitors,1
susceptibility to infection,1
symptomatic drugs,1
surveys and questionnaires,1
surveys,1
survey work,1
survey to assess post traumatic stress and anxiety at inclusion and 6 months later,1
survey research,1
survey of sars-cov-19 knowledge,1
survey of acceptability of the different self-samples.,1
symptom survey,1
symptomatic treatment (paracetamol or best symptomatic treatment based on doctor recommendations),1
tak-019,1
t-cell receptor (tcr) repertoire,1
tailored best practices,1
tafenoquine oral tablet,1
t89 capsule,1
t89,1
t3 solution for injection,1
t-detect™ sars-cov-2 assay,1
t-detect covid t-cell blood test,1
t regulatory cells,1
"symptomatology, treatment. daily activities and anxiety for cardiovascular patients survey (strata)",1
t memory cells and nk cells,1
systemic treatment,1
systemic indirect endovenous ozone therapy,1
systematic offer of nurse-driven sars-cov-2 screening combined with usual practice,1
synthetic neutralising antibodies,1
symptoms questionnare,1
symptoms entered into the covidx application,1
survey group,1
survey and questionnaire,1
surgical repair,1
sublingual micro-dose ketamine,1
supervised stretching and strengthening exercise,1
supervised exercise training protocol,1
"supar, c-reactive protein, ferritin, d-dimer, procalcitonin, interleukin-6, lactate dehydrogenase",1
sulodexide,1
sulfur hexafluoride lipid-type a microspheres,1
sulfonatoporphyrin(tpps) plus sunlight exposure.,1
sudarshan kriya yoga (sky),1
sublingual methylene blue,1
surgical procedures performed under general anesthesia,1
subacute rehabilitation,1
study questionnaire,1
study of the synthesis of antibodies directed against sars,1
study of immune-mediated mechanisms in patients tested positive for sars-cov-2,1
study group,1
study d,1
study c,1
supine position,1
supine positioning,1
support as usual,1
support treatment,1
surgical procedure for cancer,1
surgical facial mask,1
surgical face mask use only,1
"surgical face mask (vheal med co., ltd., istanbul, turkey)",1
"surgery: dynamic hip screw, hemiarthroplasty, hip replacement, intramedullary nail",1
surge index,1
surge capacity,1
surfactant assessment,1
surfactant,1
supportive trauma exposure preparation program,1
supportive tratment,1
supportive therapy ssi,1
supportive therapy,1
supportive services,1
supportive and symptomatic treatment,1
tailored recommendations,1
tak-671,1
tested for sars-cov-2 (regardless of the result),1
telepsychoeducation,1
telmisartan 20mg oral tablet,1
telestroke,1
telesimulation,1
telerehabilitation-based relaxation exercise group (eg),1
"telerehabilitation i̇ntervention, motor learning",1
telepsychoeducation without personalized videos,1
telepsychoeducation with personalized videos,1
telephonic medical visit,1
telmisartan 40mg oral tablet,1
telephonic interview during the italian lockdown.,1
telephone-based coaching,1
telephone survey,1
telephone interview,1
telephone follow-up,1
telephone consult,1
telemonitoring and teleorientation,1
telmisartan 40mg,1
telmisartan arm will receive 80 mg telmisartan twice daily plus standard care.,1
tak-671 placebo,1
tenofovir/ emtricitabine ( 300 mg / 200 mg daily during 60 days) + personal protective equipment (ppe),1
test: favipiravir 200 mg (loqular),1
test pcr,1
test group: experimental - uvc therapy applied,1
test for sars-cov-2,1
"test at home's proprietary ""lollipop"" buccal cavity swab",1
test,1
tensile strength,1
tenofovir disoproxyl fumarate 300 mg plus emtricitabine 200 mg oral tablet,1
telmisartan oral product,1
tenofovir disoproxyl fumarate 300 mg oral tablet,1
tenofovir disoproxil and emtricitabine,1
tenecteplase,1
ten-days oseltamivir,1
temporarily holding the raas inhibitor [intervention],1
tempol,1
tem-tpa,1
telemedicine visit,1
telemedicine to remote outpatient visit in bariatric patient,1
telemedicine consultation,1
taxifolin aqua,1
tear collection,1
tdr,1
td139,1
tcm prescriptions,1
tcc-covid mhealth solution,1
tcb008,1
tb006,1
tavr or savr,1
telehealth phone calls,1
taste and olfactory function evaluation,1
targeted wellness formula c™ sublingual drops - 1200mg - 30 ml (formula c),1
tape-software,1
tape face mask,1
tap water,1
taking biological samples,1
tak-919,1
tears swab,1
technology based social interactions,1
telacebec,1
tele-delivered psychological intervention,1
telehealth monitoring,1
telehealth coaching sessions,1
telehealth applications,1
telehealth,1
telegeriatric intervention,1
teleconsultation either by phone or by computer consultation. quantitative and qualitative approaches to analysis,1
teleconsultation either by phone or by computer consultation,1
teleconsultation,1
telecare group,1
tele-rheumatology,1
tele-pulmonary rehabilitation,1
tele-physiotherapy group,1
tele-medicine platform,1
tele-interventions related to diabetes management and mental well-being,1
tele-exergaming tablet,1
treamid,1
treatment and prophylaxis,1
study arm,1
vitamin d3 or placebo,1
vitis xtra forte©,1
vitamins and minerals,1
vitamins,1
vitamine d3 supplementation,1
vitamin k2/d,1
vitamin k2 in the form of menaquinone-7 (mk-7),1
vitamin e,1
"vitamin d3 50,000 iu",1
viusid,1
vitamin d3 (cholecalciferol),1
vitamin d supplementation in pregnant women,1
vitamin d supplementation,1
vitamin c/zinc,1
"vitamin c, vitamin b complex and zinc acetate",1
vitamin c tablets,1
vitamin c 500 mg oral tablet,1
vitros anti-sars-cov-2 igg test,1
viusid and asbrip,1
vitamin and trace elements,1
vçac,1
"wearable devices, saliva samples, survey measures",1
water without an elevated level of kelea,1
water (e) mouth rinse with the solution provided,1
water,1
washed microbiota transplantation,1
ward css,1
walk test,1
vxa-cov2-1,1
vivadiag™ covid-19 lgm/igg rapid test,1
vr for psychoeducation and relaxation,1
volunteer of tip-oa program,1
volatile organic compounds analysis in sweat (mass spectrometry),1
volatile organic compounds analysis (mass spectrometry),1
volatile organic compounds analysis (e-noses),1
voice symptom scale (voiss),1
voclosporin,1
vitamin b12,1
vitamin a supplement,1
treatment as usual,1
vir-7832,1
virological and serological tests,1
virgin coconut oil (vco),1
virgin coconut oil,1
viral vector vaccine,1
viral specific t-cells (vsts),1
viral sequence,1
viral culture,1
vir-7831 (gen2),1
virtual care and remote automated monitoring,1
vir-7831 (gen1),1
views and experiences of health care professionals working in intensive care units during the covid-19 pandemic,1
vielight rx plus,1
vie scope laryngoscopy,1
videofluoroscopy,1
videofluoroscopic swallowing study (vfss),1
video-based psychotherapy,1
"virtual assistant first, then human coach",1
virtual care at home,1
vitamin a,1
virtual-care cognitive behavioural therapy,1
vitaltalk communication skills training,1
vitalconnect vital sign patch,1
vital signs,1
vit-d 0.2 mg/ml oral solution [calcidol],1
vit d,1
visual analogue scale,1
viruxal oral and nasal spray,1
virtual village,1
virtual family-based treatment,1
virtual reality therapy first,1
virtual reality exposure therapy,1
virtual reality,1
virtual peer support platform,1
virtual individual cognitive simulation therapy,1
virtual group intervention,1
virtual group exercise,1
wearable medical device (empatica e4),1
wearing surgical face mask sprayed with hypertonic saline,1
web application users,1
yoga group,1
zilucoplan®,1
zilucoplan placebo,1
zilucoplan,1
zavegepant (bhv-3500),1
zaritt burden interview,1
zanubrutinib,1
yu-ping-feng formula,1
yinhu qingwen granula,1
zinc (zinc gluconate),1
