NCTId,StudyFirstSubmitDate,StartDate,StartDateType,InterventionType,InterventionName,InterventionOtherNameList
NCT04492254,"July 22, 2020","September 15, 2020",Actual,Drug,Enoxaparin,Lovenox/Clexane
NCT04596839,"October 20, 2020","September 4, 2020",Actual,Drug,Remdesivir,
NCT04596839,"October 20, 2020","September 4, 2020",Actual,Other,Standard of Care,
NCT04623385,"November 8, 2020",November 2020,Anticipated,Combination Product,Aerosolized 13 cis retinoic acid plus Inhalation Inhaled testosterone,
NCT04623385,"November 8, 2020",November 2020,Anticipated,Drug,The standard therapy,
NCT04454398,"June 30, 2020",September 2020,Anticipated,Biological,COVI-GUARD,STI-1499
NCT04454398,"June 30, 2020",September 2020,Anticipated,Other,Standard of Care,
NCT04454398,"June 30, 2020",September 2020,Anticipated,Drug,Placebo,
NCT04679350,"December 21, 2020",March 2021,Anticipated,Drug,hzVSF-v13,a humanized monoclonal antibody (mAb)
NCT04679350,"December 21, 2020",March 2021,Anticipated,Drug,Placebo (Normal saline solution),0.9% Normal saline
NCT04476602,"July 16, 2020","April 27, 2020",Actual,,,
NCT04359264,"April 16, 2020","April 20, 2020",Actual,Other,Cash transfer,
NCT04344080,"April 9, 2020","April 1, 2020",Actual,Device,CytoSorb-Therapy,
NCT04452617,"June 26, 2020","March 19, 2020",Actual,,,
NCT04429867,"June 10, 2020","May 7, 2020",Actual,Drug,Hydroxychloroquine,
NCT04429867,"June 10, 2020","May 7, 2020",Actual,Drug,Placebo,
NCT04756830,"February 15, 2021",February 2021,Anticipated,Biological,Adsorbed COVID-19 (inactivated) Vaccine,CoronaVac
NCT04377659,"May 4, 2020","May 1, 2020",Actual,Drug,Tocilizumab,
NCT04783311,"March 3, 2021","February 23, 2021",Actual,Biological,EuCorVac-19,
NCT04783311,"March 3, 2021","February 23, 2021",Actual,Other,Normal Saline,
NCT04583189,"October 1, 2020","October 1, 2020",Actual,Diagnostic Test,Performance of the test antigenic and test RT-PCR,
NCT04425772,"May 9, 2020","June 12, 2020",Anticipated,Drug,FNC+Standard of Care,Azvudine+SOC
NCT04425772,"May 9, 2020","June 12, 2020",Anticipated,Drug,FNC dummy tablet+Standard of Care,Azvudin dummy tablet+SOC
NCT04903184,"May 21, 2021","December 9, 2020",Actual,Biological,RUTI® vaccine,
NCT04903184,"May 21, 2021","December 9, 2020",Actual,Biological,Placebo,
NCT04352465,"April 15, 2020","May 1, 2020",Anticipated,Drug,Methotrexate,MTX-loaded nanoparticles
NCT04352465,"April 15, 2020","May 1, 2020",Anticipated,Drug,Methotrexate,MTX-loaded nanoparticles
NCT04352465,"April 15, 2020","May 1, 2020",Anticipated,Drug,Methotrexate,MTX-loaded nanoparticles
NCT04498377,"July 31, 2020","January 26, 2021",Actual,Biological,F-652,
NCT04498377,"July 31, 2020","January 26, 2021",Actual,Biological,Placebo,
NCT04380779,"May 7, 2020","April 13, 2020",Actual,,,
NCT04822701,"March 29, 2021","April 21, 2021",Actual,Drug,BI 767551 intravenous,
NCT04822701,"March 29, 2021","April 21, 2021",Actual,Drug,BI 767551 inhaled,
NCT04822701,"March 29, 2021","April 21, 2021",Actual,Drug,Placebo intravenous,
NCT04822701,"March 29, 2021","April 21, 2021",Actual,Drug,Placebo inhaled,
NCT04363502,"April 23, 2020","May 7, 2020",Actual,Drug,Clazakizumab,engineered humanized mAb directed against the human cytokine IL-6
NCT04363502,"April 23, 2020","May 7, 2020",Actual,Drug,Placebo,
NCT04381871,"May 8, 2020","June 1, 2020",Anticipated,Dietary Supplement,Acacia Senegal,Gum Arabic
NCT04381871,"May 8, 2020","June 1, 2020",Anticipated,Dietary Supplement,Pectin,
NCT04352751,"April 16, 2020","May 1, 2020",Actual,Other,convalescent plasma,
NCT04776044,"February 26, 2021",March 2021,Anticipated,Drug,ATR-002,
NCT04776044,"February 26, 2021",March 2021,Anticipated,Drug,Placebo,
NCT04902183,"May 21, 2021","June 9, 2021",Actual,Drug,CovenD24,Exo-CD24
NCT04348448,"April 13, 2020",April 2020,Anticipated,Drug,Canakinumab 150 MG/ML [Ilaris],
NCT04365816,"April 24, 2020","April 30, 2020",Actual,Other,Interview,
NCT04435314,"June 8, 2020",June 2020,Anticipated,Drug,Nitazoxanide,Viranitta
NCT04435314,"June 8, 2020",June 2020,Anticipated,Drug,Placebo,
NCT04389801,"May 13, 2020","June 1, 2020",Anticipated,Drug,Desferal 500 MG Injection,
NCT04601077,"October 21, 2020","November 1, 2020",Actual,Drug,"Nitric Oxide lozenges, 30 mg",
NCT04601077,"October 21, 2020","November 1, 2020",Actual,Drug,Placebo,
NCT04757298,"February 15, 2021","February 12, 2021",Actual,Behavioral,Navigation Services,
NCT04757298,"February 15, 2021","February 12, 2021",Actual,Behavioral,Critical Dialogue,
NCT04757298,"February 15, 2021","February 12, 2021",Actual,Behavioral,Brief Counseling,
NCT04757298,"February 15, 2021","February 12, 2021",Actual,Behavioral,Referral and Digital Brochure,
NCT04640181,"November 19, 2020","December 1, 2020",Actual,Drug,Enoxaparin,
NCT04640181,"November 19, 2020","December 1, 2020",Actual,Drug,Rivaroxaban,
NCT04771559,"February 17, 2021","March 1, 2021",Anticipated,Other,COVID-19 antibody test,
NCT04513210,"August 11, 2020","October 10, 2020",Actual,,,
NCT04474457,"July 15, 2020","June 11, 2020",Actual,Drug,Favipiravir,
NCT04344925,"April 3, 2020","April 18, 2020",Actual,Device,Aerosol-reducing Mask,
NCT04344925,"April 3, 2020","April 18, 2020",Actual,Device,Standard Mask,
NCT04773067,"February 23, 2021","January 30, 2021",Actual,Biological,UB-612,
NCT04773067,"February 23, 2021","January 30, 2021",Actual,Biological,Placebo,
NCT04486313,"July 23, 2020","August 13, 2020",Actual,Drug,Nitazoxanide,NTZ (nitazoxanide)|NT-300
NCT04486313,"July 23, 2020","August 13, 2020",Actual,Drug,Placebo,
NCT04486313,"July 23, 2020","August 13, 2020",Actual,Dietary Supplement,Vitamin Super B-Complex,
NCT04470531,"July 11, 2020","July 12, 2020",Actual,Drug,oral co-trimoxazole,co-trimoxazole
NCT04584411,"September 9, 2020","November 1, 2020",Anticipated,Diagnostic Test,Cardiac Magnetic resonance imaging,
NCT04810637,"March 17, 2021","November 1, 2020",Actual,Drug,GX-I7,Efineptakin alfa NT-I7|rhIL-7-hyFc|NT-I7|TJ107
NCT04563689,"September 22, 2020","June 18, 2020",Actual,Other,CHX0.12+CPC0.05 oral rinse (PerioAidActive Control),
NCT04563689,"September 22, 2020","June 18, 2020",Actual,Other,placebo rinse,
NCT04677283,"December 18, 2020","April 5, 2020",Actual,,,
NCT04374487,"April 29, 2020","May 9, 2020",Actual,Drug,Convalescent Plasma,
NCT04374487,"April 29, 2020","May 9, 2020",Actual,Other,Standard Care Therapy,
NCT04328441,"March 27, 2020","March 25, 2020",Actual,Drug,BCG Vaccine,Danish strain 1331
NCT04328441,"March 27, 2020","March 25, 2020",Actual,Drug,Placebo,"NaCl 0,9%"
NCT04816669,"March 24, 2021","April 1, 2021",Actual,Biological,BNT162b2,
NCT04625738,"November 4, 2020","November 6, 2020",Anticipated,Biological,Ex vivo expanded Wharton's Jelly Mesenchymal Stem Cells,
NCT04625738,"November 4, 2020","November 6, 2020",Anticipated,Biological,Placebo,
NCT04432961,"June 15, 2020",July 2020,Anticipated,,,
NCT04637828,"November 17, 2020","November 18, 2020",Anticipated,Drug,GNS561,
NCT04502472,"August 4, 2020","June 6, 2020",Actual,Biological,Convalescent plasma transfusion,
NCT04625218,"November 10, 2020",January 2022,Anticipated,,,
NCT04683328,"December 20, 2020","February 25, 2021",Anticipated,Biological,SCTA01,
NCT04683328,"December 20, 2020","February 25, 2021",Anticipated,Biological,SCTA01 Placebo,
NCT04482699,"July 20, 2020","December 30, 2020",Actual,Biological,RAPA-501-Allo off-the-shelf Therapy of COVID-19,RAPA-501-Allo cells
NCT04482699,"July 20, 2020","December 30, 2020",Actual,Other,Placebo,
NCT04614883,"November 2, 2020","October 21, 2020",Actual,Device,Volatile Organic Compounds analysis,
NCT04614883,"November 2, 2020","October 21, 2020",Actual,Other,Canine odor detection of Volatile Organic Compounds,
NCT04542447,"September 6, 2020","September 1, 2020",Actual,Drug,Nuvastatic,C5OSEW5050ESA
NCT04634409,"November 17, 2020","October 29, 2020",Actual,Drug,LY3819253,LY-CoV555|Bamlanivimab
NCT04634409,"November 17, 2020","October 29, 2020",Actual,Drug,LY3832479,LY-CoV016|Etesevimab
NCT04634409,"November 17, 2020","October 29, 2020",Actual,Drug,Placebo,
NCT04634409,"November 17, 2020","October 29, 2020",Actual,Drug,VIR-7831,GSK4182136
NCT04634409,"November 17, 2020","October 29, 2020",Actual,Drug,LY3853113,LY-CoV1404
NCT04391920,"May 12, 2020","August 28, 2020",Actual,Device,CytoSorb 300 mL device,
NCT04501965,"August 3, 2020","June 1, 2020",Actual,Combination Product,Hydroxychloroquine/Azithromycine,
NCT04501965,"August 3, 2020","June 1, 2020",Actual,Combination Product,Quinquina-Stevia/Azythromycin,CILE
NCT04501965,"August 3, 2020","June 1, 2020",Actual,Combination Product,4Plants/Azythromycin,ACAR
NCT04427566,"June 5, 2020","July 23, 2020",Actual,Radiation,Radiation therapy,Linear accelerator|x-rays|LINAC
NCT04365634,"April 25, 2020","February 2, 2020",Actual,,,
NCT04405843,"May 23, 2020","July 14, 2020",Actual,Drug,Ivermectin Oral Product,
NCT04405843,"May 23, 2020","July 14, 2020",Actual,Drug,Placebo,
NCT04573153,"September 30, 2020","September 21, 2020",Actual,Drug,Hydroxychloroquine + Metabolic cofactor supplementation,
NCT04573153,"September 30, 2020","September 21, 2020",Actual,Drug,Hydroxychloroquine + Sorbitol,
NCT04354610,"April 14, 2020","April 27, 2020",Actual,Procedure,Biological samples specific to research,
NCT04354610,"April 14, 2020","April 27, 2020",Actual,Procedure,Clinical examination,
NCT04354610,"April 14, 2020","April 27, 2020",Actual,Procedure,Telephone follow-up,
NCT04581291,"October 4, 2020","January 1, 2020",Actual,Other,Moderate Intensity Aerobic Exercises,
NCT04667442,"December 10, 2020","December 1, 2020",Actual,Diagnostic Test,Nanomix eLab® COVID-19 Rapid Antigen Panel (non-interventional),
NCT04666012,"December 10, 2020","December 29, 2020",Actual,Biological,AdCLD-CoV19,
NCT04432766,"June 12, 2020","October 20, 2020",Anticipated,Drug,BAT2020,
NCT04307693,"March 10, 2020","March 11, 2020",Actual,Drug,Lopinavir/ritonavir,Kaletra
NCT04307693,"March 10, 2020","March 11, 2020",Actual,Drug,Hydroxychloroquine sulfate,Oxiklorin
NCT04558021,"September 18, 2020","October 8, 2020",Actual,Drug,Niclosamide suspension,Niclonex
NCT04558021,"September 18, 2020","October 8, 2020",Actual,Other,Placebo,
NCT04453553,"June 29, 2020","July 2, 2020",Anticipated,Diagnostic Test,Q16 testing,
NCT04453553,"June 29, 2020","July 2, 2020",Anticipated,Diagnostic Test,Nasopharyngeal swab and main laboratory,
NCT04429711,"May 24, 2020","May 12, 2020",Actual,Drug,Ivermectin Oral Product,
NCT04606732,"October 27, 2020","September 20, 2020",Actual,,,
NCT04329650,"March 31, 2020","April 15, 2020",Actual,Drug,Siltuximab,
NCT04329650,"March 31, 2020","April 15, 2020",Actual,Drug,Methylprednisolone,
NCT04354428,"April 16, 2020","April 16, 2020",Actual,Drug,Ascorbic Acid,Placebo
NCT04354428,"April 16, 2020","April 16, 2020",Actual,Drug,Hydroxychloroquine Sulfate,Intervention A
NCT04354428,"April 16, 2020","April 16, 2020",Actual,Drug,Azithromycin,Intervention B
NCT04354428,"April 16, 2020","April 16, 2020",Actual,Drug,Folic Acid,Placebo
NCT04354428,"April 16, 2020","April 16, 2020",Actual,Drug,Lopinavir 200 MG / Ritonavir 50 MG [Kaletra],Intervention C
NCT04344236,"April 8, 2020","April 9, 2020",Actual,Drug,Saline oral/nasal rinse,
NCT04344236,"April 8, 2020","April 9, 2020",Actual,Drug,0.5% Povidone/Iodine oral/nasal rinse,
NCT04344236,"April 8, 2020","April 9, 2020",Actual,Drug,0.12% Chlorhexidine oral/nasal rinse,
NCT04891302,"May 13, 2021","March 19, 2021",Actual,Drug,Clevudine,
NCT04891302,"May 13, 2021","March 19, 2021",Actual,Drug,Placebo,
NCT04828668,"March 10, 2021","April 2, 2021",Actual,Dietary Supplement,Targeted Wellness Formula C™ Sublingual Drops - 1200mg - 30 mL (Formula C),Placebo
NCT04701658,"January 7, 2021","February 1, 2021",Actual,Drug,Bamlanivimab,LY3819253|LY-CoV555
NCT04582903,"October 9, 2020","June 21, 2021",Anticipated,,,
NCT04468139,"July 5, 2020","June 20, 2020",Actual,Drug,Quercetin,
NCT04468139,"July 5, 2020","June 20, 2020",Actual,Dietary Supplement,bromelain,
NCT04468139,"July 5, 2020","June 20, 2020",Actual,Drug,Zinc,
NCT04468139,"July 5, 2020","June 20, 2020",Actual,Drug,Vitamin C,
NCT04642326,"November 16, 2020","June 26, 2020",Actual,Device,Test Group: experimental - UVC Therapy applied,of Turkish Beam-Selective UV Device Model Number: 1007-001
NCT04385849,"May 7, 2020","July 22, 2020",Actual,Biological,N-803,
NCT04385849,"May 7, 2020","July 22, 2020",Actual,Other,Saline,
NCT04765436,"February 16, 2021","January 14, 2021",Actual,Biological,PTX-COVID19-B,
NCT04765436,"February 16, 2021","January 14, 2021",Actual,Biological,Placebo,
NCT04522076,"August 18, 2020","April 6, 2020",Actual,,,
NCT04679415,"December 21, 2020","December 17, 2020",Actual,Drug,hzVSF-v13,a humanized monoclonal antibody (mAb)
NCT04679415,"December 21, 2020","December 17, 2020",Actual,Drug,Placebo (Normal saline solution),0.9% Normal saline
NCT04503447,"August 4, 2020","August 1, 2020",Actual,,,
NCT04424056,"June 8, 2020","September 1, 2020",Anticipated,Drug,Anakinra +/- Ruxolitinib (stages 2b/3),
NCT04424056,"June 8, 2020","September 1, 2020",Anticipated,Drug,Anakinra and Ruxolitinib (Advanced stage 3),
NCT04424056,"June 8, 2020","September 1, 2020",Anticipated,Drug,Tocilizumab +/- ruxolitinib (stages 2b/3),
NCT04424056,"June 8, 2020","September 1, 2020",Anticipated,Drug,Tocilizumab and Ruxolitinib (Advanced stage 3),
NCT04424056,"June 8, 2020","September 1, 2020",Anticipated,Other,Standard of care,
NCT04345692,"April 9, 2020","March 26, 2020",Actual,Drug,Hydroxychloroquine,Plaquenil
NCT04363814,"April 19, 2020","June 10, 2020",Actual,Biological,Bactek-R,
NCT04495933,"July 13, 2020","July 13, 2020",Actual,Biological,MF59 adjuvanted SARS-CoV-2 Sclamp vaccine 5mcg,
NCT04495933,"July 13, 2020","July 13, 2020",Actual,Biological,MF59 adjuvanted SARS-CoV-2 Sclamp vaccine 15mcg,
NCT04495933,"July 13, 2020","July 13, 2020",Actual,Biological,MF59 adjuvanted SARS-CoV-2 Sclamp vaccine 45mcg,
NCT04495933,"July 13, 2020","July 13, 2020",Actual,Other,Placebo,
NCT04382729,"May 8, 2020","April 17, 2020",Actual,Other,Neuromuscular Electrical Stimulation,
NCT04382729,"May 8, 2020","April 17, 2020",Actual,Other,Physical Therapy Exercise,
NCT04558424,"September 21, 2020","October 1, 2020",Anticipated,Dietary Supplement,zinc gluconate and ascorbic acid,
NCT04364763,"April 20, 2020","August 5, 2020",Actual,Drug,RBT-9 (90 mg),
NCT04364763,"April 20, 2020","August 5, 2020",Actual,Drug,0.9% sodium chloride (normal saline),
NCT04536090,"August 31, 2020",November 2020,Anticipated,Drug,Isoquercetin (IQC-950AN),IQC-950AN
NCT04400461,"May 20, 2020","May 15, 2020",Actual,Other,Data collection and clinical testing of subjects,
NCT04397562,"May 19, 2020","April 29, 2020",Actual,Drug,Levilimab,
NCT04397562,"May 19, 2020","April 29, 2020",Actual,Drug,Placebo,
NCT04371471,"April 30, 2020","March 1, 2020",Actual,Diagnostic Test,STC-19 score,
NCT04709835,"January 12, 2021","February 3, 2021",Actual,Drug,AT-527,RO7496998
NCT04709835,"January 12, 2021","February 3, 2021",Actual,Drug,Placebo,
NCT04551768,"September 15, 2020","February 10, 2021",Actual,Drug,50 mg/mL Virazole,
NCT04551768,"September 15, 2020","February 10, 2021",Actual,Drug,100 mg/mL Virazole,
NCT04518969,"April 25, 2020","May 3, 2020",Actual,Device,CytoSorb,CRRT
NCT04847544,"April 13, 2021","March 31, 2021",Actual,Drug,ADX-629,
NCT04847544,"April 13, 2021","March 31, 2021",Actual,Drug,Placebo,
NCT04433910,"May 6, 2020","August 30, 2020",Actual,Drug,Convalesscent Plasma,
NCT04397718,"May 14, 2020","July 6, 2020",Actual,Drug,Degarelix,
NCT04397718,"May 14, 2020","July 6, 2020",Actual,Other,Saline,
NCT04417335,"May 25, 2020","April 16, 2020",Actual,Biological,BCG vaccine,
NCT04417335,"May 25, 2020","April 16, 2020",Actual,Biological,Placebo,
NCT04651400,"November 19, 2020","October 19, 2020",Actual,Drug,Antithrombin III,
NCT04681157,"December 22, 2020","April 3, 2020",Actual,,,
NCT04411628,"May 29, 2020","May 28, 2020",Actual,Drug,LY3819253,LY-CoV555|Bamlanivimab
NCT04411628,"May 29, 2020","May 28, 2020",Actual,Drug,Placebo,
NCT04362332,"April 20, 2020","April 14, 2020",Actual,Drug,Chloroquine Sulfate,
NCT04362332,"April 20, 2020","April 14, 2020",Actual,Drug,Hydroxychloroquine,
NCT04362332,"April 20, 2020","April 14, 2020",Actual,Other,Standard supportive care,
NCT04884295,"May 6, 2021",May 2021,Anticipated,Drug,XVR011,
NCT04884295,"May 6, 2021",May 2021,Anticipated,Drug,Normal saline,
NCT04497246,"August 3, 2020","May 29, 2020",Actual,Other,Questionnaire,
NCT04475120,"July 16, 2020","April 15, 2020",Actual,Drug,liposomal lactoferrin,
NCT04475120,"July 16, 2020","April 15, 2020",Actual,Drug,SOC therapy,
NCT04440007,"June 17, 2020","October 9, 2020",Actual,Drug,Abivertinib,abivertinib maleate|avitinib|AC0010|STI-5656
NCT04440007,"June 17, 2020","October 9, 2020",Actual,Other,Standard of Care,
NCT04323631,"March 25, 2020","April 30, 2020",Actual,Drug,Hydroxychloroquine,
NCT04323631,"March 25, 2020","April 30, 2020",Actual,Other,The control group will not receive hydroxychloroquine,
NCT04331899,"March 27, 2020","April 25, 2020",Actual,Drug,Peginterferon Lambda-1a,
NCT04331899,"March 27, 2020","April 25, 2020",Actual,Other,Placebo,
NCT04441398,"June 18, 2020",July 2020,Anticipated,Drug,Nitazoxanide,Viranitta
NCT04441398,"June 18, 2020",July 2020,Anticipated,Drug,Placebo,
NCT04386252,"May 11, 2020",September 2021,Anticipated,Biological,AV-COVID-19,"DC-ATA, DCV"
NCT04900129,"May 18, 2021","December 1, 2020",Actual,Combination Product,"Menthol 0.02%, Methyl salicylate 0.05%, N- Acetyl cysteine 1.2 gm%, and Diclofenac sodium 1gm%",
NCT04809948,"March 14, 2021",March 2021,Anticipated,Biological,viral vector vaccine,
NCT04486508,"July 22, 2020","July 30, 2020",Actual,Drug,intermediate dose Enoxaparin/ unfractionated heparin,Intermediate dose anticoagulation
NCT04486508,"July 22, 2020","July 30, 2020",Actual,Drug,standard prophylactic dose Enoxaparin/ unfractionated heparin,Standard dose prophylaxis anticoagulation
NCT04486508,"July 22, 2020","July 30, 2020",Actual,Drug,Atorvastatin 20mg,Statin
NCT04486508,"July 22, 2020","July 30, 2020",Actual,Drug,Matched placebo,Statin
NCT04434131,"June 9, 2020","April 28, 2020",Actual,Drug,Convalescent Plasma,
NCT04331834,"April 1, 2020","April 3, 2020",Actual,Drug,Hydroxychloroquine,
NCT04331834,"April 1, 2020","April 3, 2020",Actual,Drug,Placebos,
NCT04331470,"March 30, 2020","April 4, 2020",Actual,Drug,Levamisole Pill + Budesonide+Formoterol inhaler,Levamisole and Budesonide+Formoterol inhaler both are generic drugs.
NCT04331470,"March 30, 2020","April 4, 2020",Actual,Drug,Lopinavir/Ritonavir + hydoxychloroquine,Kaletra+ Generic Hydroxy Chloroquine( Generic Drug)
NCT04427501,"June 9, 2020","June 17, 2020",Actual,Drug,LY3819253,LY-CoV555|Bamlanivimab
NCT04427501,"June 9, 2020","June 17, 2020",Actual,Drug,LY3832479,LY-CoV016|Etesevimab
NCT04427501,"June 9, 2020","June 17, 2020",Actual,Drug,Placebo,
NCT04371926,"April 29, 2020",June 2020,Anticipated,Drug,Hydroxychloroquine Sulfate,
NCT04662671,"December 9, 2020","November 18, 2020",Actual,Device,RD-X19,
NCT04805892,"March 17, 2021","March 17, 2021",Actual,Diagnostic Test,BIOZEK COVID-19 Antigen Rapid Test,
NCT04443803,"June 19, 2020","July 1, 2020",Actual,,,
NCT04313023,"March 16, 2020","June 9, 2020",Actual,Drug,PUL-042 Inhalation Solution,
NCT04313023,"March 16, 2020","June 9, 2020",Actual,Drug,Placebo,
NCT04623021,"November 5, 2020","September 25, 2020",Actual,Drug,Nafamostat Mesilate,
NCT04348383,"April 8, 2020","April 8, 2020",Actual,Drug,Defibrotide 25 mg/kg 24 hours continuous infusion for 15 days,
NCT04348383,"April 8, 2020","April 8, 2020",Actual,Drug,Placebo 250 cc 24 hours continuous infusion for 15 days,
NCT04356677,"April 20, 2020",May 2021,Anticipated,Drug,50 mg/mL Virazole,
NCT04356677,"April 20, 2020",May 2021,Anticipated,Drug,100 mg/mL Virazole,
NCT04292899,"February 28, 2020","March 6, 2020",Actual,Drug,Remdesivir,GS-5734™|Veklury®
NCT04292899,"February 28, 2020","March 6, 2020",Actual,Drug,Standard of Care,
NCT04530578,"August 17, 2020","June 1, 2020",Actual,Drug,Heparin sodium,UNFRACTION HEPARIN
NCT04530578,"August 17, 2020","June 1, 2020",Actual,Drug,Enoxaparin,Low Molecular Weight Heparin
NCT04336254,"March 28, 2020","May 6, 2020",Actual,Biological,allogeneic human dental pulp stem cells (BSH BTC & Utooth BTC),
NCT04336254,"March 28, 2020","May 6, 2020",Actual,Other,Intravenous saline injection (Placebo),
NCT04409327,"May 28, 2020","July 11, 2020",Actual,Drug,RTB101,Dactolisib|BEZ235
NCT04409327,"May 28, 2020","July 11, 2020",Actual,Drug,Placebo,Placebo capsule
NCT04465474,"July 3, 2020","May 1, 2020",Actual,Other,Non Intervention,
NCT04416139,"May 30, 2020","May 1, 2020",Actual,Biological,Infusion IV of Mesenchymal Stem cells,
NCT04502342,"August 4, 2020","June 1, 2020",Actual,Combination Product,Hydroxycloroquine and Azythromycine,
NCT04502342,"August 4, 2020","June 1, 2020",Actual,Combination Product,Cospherunate/Azythromycine,
NCT04502342,"August 4, 2020","June 1, 2020",Actual,Combination Product,Cospherunate/Phytomedicine/Azythromycien,Cospherunate/Asen/Azythromycine
NCT04831853,"April 1, 2021",April 2021,Anticipated,Other,nasopharyngeal swabbing procedure (self swabbing first),
NCT04831853,"April 1, 2021",April 2021,Anticipated,Other,nasopharyngeal swabbing procedure (conventionnal swabbing first),
NCT04423861,"June 8, 2020",December 2020,Anticipated,Drug,Nitazoxanide,Viranitta
NCT04423861,"June 8, 2020",December 2020,Anticipated,Drug,Placebo,
NCT04577378,"April 13, 2020","October 20, 2020",Anticipated,Drug,Drug: Isotretinoin(Aerosolized 13 cis retinoic acid) plus Aerosolized Itraconazole,
NCT04577378,"April 13, 2020","October 20, 2020",Anticipated,Drug,Drug: Isotretinoin(Aerosolized 13 cis retinoic acid),
NCT04780321,"September 23, 2020","October 30, 2020",Actual,Biological,Recombinant Human Anti-SARS-CoV-2 Monoclonal Antibody(25mg/kg;50mg/kg;100mg/kg),
NCT04780321,"September 23, 2020","October 30, 2020",Actual,Drug,Placebo,
NCT04345510,"April 12, 2020","April 20, 2020",Actual,,,
NCT04624997,"June 17, 2020","June 8, 2020",Actual,Other,biological sample,
NCT04501952,"August 5, 2020","September 18, 2020",Actual,Drug,RDV,GS-5734™|Veklury®
NCT04501952,"August 5, 2020","September 18, 2020",Actual,Drug,Placebo to Match RDV,
NCT04312997,"March 16, 2020","June 16, 2020",Actual,Drug,PUL-042 Inhalation Solution,
NCT04312997,"March 16, 2020","June 16, 2020",Actual,Drug,Placebo,
NCT04456595,"June 30, 2020","July 21, 2020",Actual,Biological,Adsorbed COVID-19 (inactivated) Vaccine,CoronaVac
NCT04456595,"June 30, 2020","July 21, 2020",Actual,Biological,Placebo,
NCT04600440,"October 20, 2020","April 25, 2020",Actual,Biological,Convalescent plasma,
NCT04466280,"July 9, 2020","July 15, 2020",Anticipated,Drug,Hydroxychloroquine,
NCT04466280,"July 9, 2020","July 15, 2020",Anticipated,Drug,Mucodentol,Dentol Gel
NCT04466280,"July 9, 2020","July 15, 2020",Anticipated,Device,Personal protective equipment,
NCT04460690,"July 6, 2020","July 13, 2020",Actual,Device,Rapid Onsite COVID-19 Detection,
NCT04385264,"April 21, 2020",January 2022,Anticipated,Drug,Hydroxychloroquine,Plaquenil|HCQ
NCT04385264,"April 21, 2020",January 2022,Anticipated,Drug,Mannitol,Placebo
NCT04551898,"September 10, 2020","December 2, 2020",Actual,Drug,BGB-DXP593,
NCT04551898,"September 10, 2020","December 2, 2020",Actual,Drug,Placebo,
NCT04578236,"October 4, 2020",November 2020,Anticipated,Combination Product,Aerosolized 13 cis retinoic acid plus Inhalation administration by nebulization captopril 25mg,
NCT04578236,"October 4, 2020",November 2020,Anticipated,Drug,Drug: Standard treatment Standard treatment,
NCT04481633,"July 21, 2020","September 9, 2020",Actual,Diagnostic Test,COVID 19 serology,
NCT04481633,"July 21, 2020","September 9, 2020",Actual,Other,COVID 19 Self-Questionnaire,
NCT04370782,"April 26, 2020","April 28, 2020",Actual,Drug,Hydroxychloroquine,
NCT04370782,"April 26, 2020","April 28, 2020",Actual,Drug,Azithromycin,
NCT04370782,"April 26, 2020","April 28, 2020",Actual,Drug,Zinc Sulfate,
NCT04370782,"April 26, 2020","April 28, 2020",Actual,Drug,Doxycycline,
NCT04368728,"April 27, 2020","April 29, 2020",Actual,Biological,BNT162b1,
NCT04368728,"April 27, 2020","April 29, 2020",Actual,Biological,BNT162b2,
NCT04368728,"April 27, 2020","April 29, 2020",Actual,Other,Placebo,
NCT04368728,"April 27, 2020","April 29, 2020",Actual,Biological,BNT162b2SA,
NCT04568876,"September 24, 2020","October 23, 2020",Actual,Dietary Supplement,"Micronized and ultra-micronized Palmitoylethanolamide (mPEA and umPEA, 300mg + 600mg) oral suspension",Normast® MPS oral suspension
NCT04568876,"September 24, 2020","October 23, 2020",Actual,Combination Product,Standard Therapy,
NCT04425460,"May 28, 2020",June 2020,Anticipated,Drug,Favipiravir,
NCT04425460,"May 28, 2020",June 2020,Anticipated,Other,Placebo,
NCT04695821,"January 1, 2021",January 2021,Anticipated,Device,Senti V1.0 Device,
NCT04334980,"March 31, 2020","November 2, 2020",Actual,Biological,bacTRL-Spike,
NCT04352764,"April 16, 2020","March 27, 2020",Actual,Diagnostic Test,CoronaCideTM COVID-19 IgM/IgG Rapid Test and Premier Biotech COVID-19 IgM/IgG Rapid Test,
NCT04463862,"July 8, 2020","June 4, 2020",Actual,,,
NCT04832932,"April 2, 2021","May 1, 2021",Anticipated,Biological,COVID-19 vaccine,BNT162b2|mRNA-1273|JNJ-78436735|AZD1222|Gam-KOVID-Vak
NCT04718506,"January 16, 2021","January 12, 2021",Actual,Behavioral,Exercise,
NCT04718506,"January 16, 2021","January 12, 2021",Actual,Behavioral,Controls,
NCT04348409,"April 3, 2020","May 25, 2020",Actual,Drug,Nitazoxanide Tablets,
NCT04348409,"April 3, 2020","May 25, 2020",Actual,Drug,Placebo,
NCT04539262,"August 26, 2020","September 14, 2020",Actual,Drug,Remdesivir (RDV),GS-5734™
NCT04539262,"August 26, 2020","September 14, 2020",Actual,Drug,Placebo,
NCT04377711,"May 5, 2020","June 8, 2020",Actual,Drug,Ciclesonide,
NCT04377711,"May 5, 2020","June 8, 2020",Actual,Drug,Placebo,
